,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed
29,16,6.0,104,0.036100000026635826,"[7, 1, 6, 21, 18, 10, 24, 12, 26, 16, 18, 37, 0, 4, 25, 2, 7, 7, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 38, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.2,1024,1
30,32,6.0,200,0.06244479998713359,"[7, 1, 6, 21, 18, 10, 24, 12, 26, 16, 18, 37, 0, 4, 25, 2, 7, 7, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 38, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.2,1024,1
31,64,5.0,393,0.11668630002532154,"[7, 1, 6, 21, 18, 10, 24, 12, 26, 16, 15, 37, 0, 4, 25, 2, 7, 7, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 28, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.2,1024,1
32,128,1.0,779,0.22218310000607744,"[7, 1, 6, 21, 18, 10, 24, 12, 26, 16, 15, 37, 0, 4, 33, 2, 17, 11, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 28, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.2,1024,1
33,256,1.0,1547,0.42249900003662333,"[7, 1, 6, 21, 18, 10, 24, 12, 26, 16, 15, 37, 0, 4, 33, 2, 17, 11, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 28, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.2,1024,1
34,512,0.0,2238,0.6142961999867111,"[10, 1, 25, 21, 18, 19, 24, 12, 26, 16, 15, 37, 0, 22, 33, 2, 14, 11, 25, 5, 5, 9, 3, 39, 4, 36, 0, 27, 26, 28, 38, 32, 34, 37, 28, 15, 31, 35, 7, 13]",5,0.2,1024,1
35,1024,0.0,2238,0.6142961999867111,"[10, 1, 25, 21, 18, 19, 24, 12, 26, 16, 15, 37, 0, 22, 33, 2, 14, 11, 25, 5, 5, 9, 3, 39, 4, 36, 0, 27, 26, 28, 38, 32, 34, 37, 28, 15, 31, 35, 7, 13]",5,0.2,1024,1
36,0,13.0,5,0.0015776000218465924,"[37, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 20, 37, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24, 13, 8, 30]",5,0.5,1024,1
37,1,11.0,12,0.005299900018144399,"[12, 1, 30, 21, 18, 4, 2, 12, 39, 34, 10, 32, 18, 22, 25, 2, 7, 39, 26, 5, 22, 9, 22, 37, 23, 36, 20, 37, 32, 38, 21, 32, 34, 19, 25, 15, 13, 20, 6, 13]",5,0.5,1024,1
38,2,11.0,18,0.008707600005436689,"[12, 1, 30, 21, 18, 4, 2, 12, 39, 34, 10, 32, 18, 22, 25, 2, 7, 39, 26, 5, 22, 9, 22, 37, 23, 36, 20, 37, 32, 38, 21, 32, 34, 19, 25, 15, 13, 20, 6, 13]",5,0.5,1024,1
