,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
7,64,0.0,43,0.006736700015608221,"[0, 8, 6, 2, 3, 7, 9, 1, 5, 4]",1,1024,0,2
8,128,0.0,43,0.006736700015608221,"[0, 8, 6, 2, 3, 7, 9, 1, 5, 4]",1,1024,0,2
9,256,0.0,43,0.006736700015608221,"[0, 8, 6, 2, 3, 7, 9, 1, 5, 4]",1,1024,0,2
10,512,0.0,43,0.006736700015608221,"[0, 8, 6, 2, 3, 7, 9, 1, 5, 4]",1,1024,0,2
11,1024,0.0,43,0.006736700015608221,"[0, 8, 6, 2, 3, 7, 9, 1, 5, 4]",1,1024,0,2
0,0,7.0,0,7.930002175271511e-05,"[8, 9, 3, 8, 8, 0, 5, 3, 9, 9]",1,1024,0,3
1,1,7.0,1,0.0007166999857872725,"[8, 9, 3, 8, 8, 0, 5, 3, 9, 9]",1,1024,0,3
2,2,7.0,2,0.001498500001616776,"[8, 9, 3, 8, 8, 0, 5, 3, 9, 9]",1,1024,0,3
3,4,3.0,6,0.0022351000225171447,"[8, 9, 3, 8, 7, 0, 5, 3, 1, 9]",1,1024,0,3
4,8,3.0,10,0.0029845000244677067,"[8, 9, 3, 8, 7, 0, 5, 3, 1, 9]",1,1024,0,3
5,16,2.0,19,0.0038604000001214445,"[8, 9, 3, 8, 7, 0, 5, 3, 1, 2]",1,1024,0,3
6,32,1.0,36,0.00514130003284663,"[8, 9, 3, 8, 7, 0, 5, 6, 1, 2]",1,1024,0,3
7,64,1.0,68,0.007099699985701591,"[8, 9, 3, 8, 7, 0, 5, 6, 1, 2]",1,1024,0,3
8,128,1.0,132,0.011314100003801286,"[8, 9, 3, 8, 7, 0, 5, 6, 1, 2]",1,1024,0,3
9,256,0.0,154,0.014126699999906123,"[4, 9, 3, 8, 7, 0, 5, 6, 1, 2]",1,1024,0,3
10,512,0.0,154,0.014126699999906123,"[4, 9, 3, 8, 7, 0, 5, 6, 1, 2]",1,1024,0,3
11,1024,0.0,154,0.014126699999906123,"[4, 9, 3, 8, 7, 0, 5, 6, 1, 2]",1,1024,0,3
0,0,7.0,0,8.060003165155649e-05,"[7, 5, 1, 8, 7, 8, 2, 9, 7, 7]",1,1024,0,4
1,1,7.0,1,0.0006732000038027763,"[7, 5, 1, 8, 7, 8, 2, 9, 7, 7]",1,1024,0,4
2,2,5.0,3,0.0012684999965131283,"[7, 5, 1, 8, 2, 8, 2, 9, 7, 7]",1,1024,0,4
