,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
107,1024,10.0,2278,0.10827780002728105,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
108,0,1.0,10,0.0002927999012172222,"[3, 4, 0, 1, 3]",10,0.75,1024,1,5
109,1,3.0,22,0.005080499919131398,"[1, 2, 2, 0, 2]",10,0.75,1024,1,5
110,2,3.0,33,0.008605499984696507,"[1, 2, 2, 0, 2]",10,0.75,1024,1,5
111,4,6.0,56,0.012689899886026978,"[2, 2, 2, 1, 2]",10,0.75,1024,1,5
112,8,6.0,100,0.017465499928221107,"[2, 2, 2, 1, 2]",10,0.75,1024,1,5
113,16,10.0,189,0.025642799912020564,"[2, 2, 2, 2, 2]",10,0.75,1024,1,5
114,32,10.0,365,0.03464699990581721,"[2, 2, 2, 2, 2]",10,0.75,1024,1,5
115,64,10.0,717,0.04866129998117685,"[2, 2, 2, 2, 2]",10,0.75,1024,1,5
116,128,10.0,1421,0.0775283999973908,"[2, 2, 2, 2, 2]",10,0.75,1024,1,5
117,256,10.0,2367,0.12479079992044717,"[2, 2, 2, 2, 2]",10,0.75,1024,1,5
118,512,10.0,2367,0.12479079992044717,"[2, 2, 2, 2, 2]",10,0.75,1024,1,5
119,1024,10.0,2367,0.12479079992044717,"[2, 2, 2, 2, 2]",10,0.75,1024,1,5
120,0,1.0,30,0.0003960999893024564,"[3, 4, 0, 1, 3]",30,0.05,1024,1,5
121,1,6.0,62,0.005364299984648824,"[4, 4, 4, 4, 1]",30,0.05,1024,1,5
122,2,10.0,94,0.010757099953480065,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
123,4,10.0,156,0.016209600027650595,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
124,8,10.0,280,0.02471609995700419,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
125,16,10.0,528,0.03693940001539886,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
126,32,10.0,1024,0.05732230003923178,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
127,64,10.0,2016,0.09617739997338504,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
128,128,10.0,4000,0.1974719000281766,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
129,256,10.0,6294,0.26883399998769164,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
130,512,10.0,6294,0.26883399998769164,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
