,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
92,128,17.0,1421,0.11610670003574342,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.2,1024,1,10
93,256,17.0,2829,0.16463730001123622,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.2,1024,1,10
94,512,17.0,5645,0.26736440003151074,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.2,1024,1,10
95,1024,17.0,5711,0.2765833000303246,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.2,1024,1,10
96,0,2.0,10,0.00014730001566931605,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",10,0.5,1024,1,10
97,1,6.0,22,0.006635800004005432,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.5,1024,1,10
98,2,6.0,33,0.012410400027874857,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.5,1024,1,10
99,4,6.0,55,0.02491750003537163,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.5,1024,1,10
100,8,9.0,100,0.03470230003586039,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",10,0.5,1024,1,10
101,16,10.0,189,0.047213800018653274,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,1024,1,10
102,32,10.0,365,0.06174880004255101,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,1024,1,10
103,64,10.0,717,0.08121890004258603,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,1024,1,10
104,128,10.0,1421,0.11731320002581924,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,1024,1,10
105,256,10.0,2829,0.179439400031697,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,1024,1,10
106,512,10.0,5645,0.2914071000413969,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,1024,1,10
107,1024,10.0,5667,0.2998788999975659,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,1024,1,10
108,0,2.0,10,0.0002190999803133309,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",10,0.75,1024,1,10
109,1,6.0,22,0.008455200004391372,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.75,1024,1,10
110,2,6.0,33,0.017885099980048835,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.75,1024,1,10
111,4,6.0,55,0.02522270003100857,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.75,1024,1,10
112,8,6.0,99,0.03576050000265241,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.75,1024,1,10
113,16,17.0,189,0.048735000018496066,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.75,1024,1,10
114,32,17.0,365,0.06496960000367835,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.75,1024,1,10
115,64,17.0,717,0.09373550000600517,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.75,1024,1,10
116,128,17.0,1421,0.13222530001075938,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.75,1024,1,10
117,256,17.0,2829,0.1859748000279069,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.75,1024,1,10
118,512,17.0,5645,0.30267330002970994,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.75,1024,1,10
119,1024,17.0,5667,0.3130282000056468,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.75,1024,1,10
120,0,2.0,30,0.0004886999959126115,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",30,0.05,1024,1,10
121,1,15.0,62,0.01091060001635924,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",30,0.05,1024,1,10
122,2,16.0,94,0.018824299972038716,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.05,1024,1,10
123,4,16.0,156,0.02834760001860559,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.05,1024,1,10
124,8,16.0,280,0.04074969998328015,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.05,1024,1,10
125,16,16.0,528,0.05356309999478981,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.05,1024,1,10
126,32,16.0,1024,0.08142990001942962,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.05,1024,1,10
127,64,16.0,2016,0.13213809998705983,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.05,1024,1,10
128,128,17.0,4001,0.2036709999665618,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.05,1024,1,10
129,256,17.0,7969,0.34037579997675493,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.05,1024,1,10
130,512,17.0,15905,0.5937256999895908,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.05,1024,1,10
131,1024,17.0,19253,0.7178682999801822,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.05,1024,1,10
132,0,2.0,30,0.0004404000355862081,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",30,0.1,1024,1,10
133,1,16.0,62,0.008896600047592074,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.1,1024,1,10
134,2,16.0,93,0.01783840003190562,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.1,1024,1,10
135,4,16.0,155,0.028956000052858144,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.1,1024,1,10
136,8,17.0,280,0.04154150001704693,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
137,16,17.0,528,0.05527920002350584,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
138,32,17.0,1024,0.0757105000084266,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
139,64,17.0,2016,0.11350340000353754,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
140,128,17.0,4000,0.1790179000236094,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
141,256,17.0,7968,0.310910000000149,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
142,512,17.0,15749,0.5680077000288293,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
143,1024,17.0,15749,0.5680077000288293,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.1,1024,1,10
144,0,2.0,30,0.0005948999896645546,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",30,0.2,1024,1,10
145,1,16.0,62,0.009567399974912405,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.2,1024,1,10
146,2,16.0,93,0.018968400021549314,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.2,1024,1,10
147,4,16.0,155,0.029312999977264553,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",30,0.2,1024,1,10
148,8,17.0,280,0.04039149999152869,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
