,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
3,4,6.0,5,0.001995400001760572,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
4,8,16.0,10,0.0026711999671533704,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
5,16,16.0,18,0.0033765999833121896,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
6,32,17.0,35,0.004259000008460134,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
7,64,17.0,67,0.0069571000058203936,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
8,128,17.0,131,0.010142099985387176,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
9,256,17.0,259,0.0178652000031434,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
10,512,17.0,515,0.05068589997244999,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
11,1024,17.0,530,0.05483559996355325,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
12,0,0.0,530,0.056408600008580834,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",1,1024,1,5
13,1,0.0,531,0.057990600005723536,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",1,1024,1,5
14,2,0.0,532,0.05967129999771714,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",1,1024,1,5
15,4,0.0,534,0.06134979997295886,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",1,1024,1,5
16,8,0.0,538,0.06325939996168017,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",1,1024,1,5
17,16,3.0,548,0.06581040000310168,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1,1024,1,5
18,32,10.0,566,0.06968329998198897,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,5
19,64,10.0,598,0.07680649997200817,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,5
20,128,10.0,662,0.08956469997065142,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,5
21,256,10.0,790,0.11678979999851435,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,5
22,512,10.0,1046,0.1826959999743849,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,5
23,1024,10.0,1059,0.18926199997076765,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,5
0,0,2.0,0,6.880000000819564e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",1,1024,0,10
1,1,2.0,1,0.00079699995694682,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",1,1024,0,10
2,2,2.0,2,0.0015078999567776918,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",1,1024,0,10
3,4,2.0,4,0.0022130999714136124,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",1,1024,0,10
4,8,2.0,8,0.0029584000003524125,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",1,1024,0,10
5,16,2.0,16,0.0037737999809905887,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",1,1024,0,10
6,32,4.0,33,0.005738299980293959,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",1,1024,0,10
7,64,10.0,67,0.007518199970945716,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,10
8,128,10.0,131,0.011116199952084571,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,10
9,256,10.0,259,0.020335599954705685,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,10
10,512,10.0,515,0.052342699957080185,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,10
11,1024,10.0,550,0.05943129997467622,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,10
12,0,1.0,550,0.06244479998713359,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,10
13,1,1.0,551,0.06433149997610599,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,10
14,2,1.0,552,0.06631159997778013,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,10
15,4,2.0,555,0.06825009995372966,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",1,1024,1,10
16,8,4.0,560,0.07025819999398664,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,1024,1,10
17,16,7.0,570,0.07304409996140748,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,10
18,32,10.0,587,0.07723289995919913,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,10
