,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
53,16,7.0,29,0.03542699999525212,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.75,0.99,0.001,0.7497330075984009,0.75,1024,
54,32,10.0,49,0.04262599999492522,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.75,0.99,0.001,0.749678764602407,0.75,1024,
55,64,10.0,57,0.04769349999696715,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.75,0.99,0.001,0.749640584377501,0.75,1024,
56,128,10.0,57,0.04769349999696715,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.75,0.99,0.001,0.749640584377501,0.75,1024,
57,256,10.0,57,0.04769349999696715,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.75,0.99,0.001,0.749640584377501,0.75,1024,
58,512,10.0,57,0.04769349999696715,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.75,0.99,0.001,0.749640584377501,0.75,1024,
59,1024,10.0,57,0.04769349999696715,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.75,0.99,0.001,0.749640584377501,0.75,1024,
60,0,2.0,0,6.779999966965988e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,0.75,,0.001,0.7499997457500444,0.75,1024,0.005
61,1,0.0,2,0.004438000003574416,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,0.75,,0.001,0.7499833576846338,0.75,1024,0.005
62,2,0.0,4,0.009018800003104843,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,0.75,,0.001,0.7499661802625277,0.75,1024,0.005
63,4,0.0,8,0.013631900001200847,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",exponential,0.75,,0.001,0.7499488821170999,0.75,1024,0.005
64,8,0.0,16,0.017849500000011176,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",exponential,0.75,,0.001,0.7499330673618296,0.75,1024,0.005
65,16,7.0,29,0.022125399998913053,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.75,,0.001,0.7499170343392098,0.75,1024,0.005
66,32,10.0,49,0.027147799999511335,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,0.75,,0.001,0.7498982026590928,0.75,1024,0.005
67,64,10.0,57,0.03236589999869466,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,0.75,,0.001,0.7498786376952703,0.75,1024,0.005
68,128,10.0,57,0.03236589999869466,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,0.75,,0.001,0.7498786376952703,0.75,1024,0.005
69,256,10.0,57,0.03236589999869466,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,0.75,,0.001,0.7498786376952703,0.75,1024,0.005
70,512,10.0,57,0.03236589999869466,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,0.75,,0.001,0.7498786376952703,0.75,1024,0.005
71,1024,10.0,57,0.03236589999869466,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,0.75,,0.001,0.7498786376952703,0.75,1024,0.005
72,0,2.0,0,7.000000186963007e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,1.0,0.99,0.001,0.9999992964767189,1.0,1024,
73,1,0.0,2,0.00885510000080103,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,1.0,0.99,0.001,0.9999110072310671,1.0,1024,
74,2,0.0,4,0.014458799996646121,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",geometric,1.0,0.99,0.001,0.999854694761824,1.0,1024,
75,4,0.0,8,0.019854899997881148,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",geometric,1.0,0.99,0.001,0.999800471495144,1.0,1024,
76,8,0.0,16,0.02789140000095358,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,1.0,0.99,0.001,0.9997197213479682,1.0,1024,
77,16,7.0,29,0.033080100001825485,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9996675891456488,1.0,1024,
78,32,10.0,49,0.04664929999853484,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9995312687565135,1.0,1024,
79,64,10.0,57,0.0521493999985978,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9994760183418177,1.0,1024,
80,128,10.0,57,0.0521493999985978,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9994760183418177,1.0,1024,
81,256,10.0,57,0.0521493999985978,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9994760183418177,1.0,1024,
82,512,10.0,57,0.0521493999985978,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9994760183418177,1.0,1024,
83,1024,10.0,57,0.0521493999985978,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9994760183418177,1.0,1024,
84,0,2.0,0,7.929999992484227e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,1.0,,0.001,0.999999603500079,1.0,1024,0.005
85,1,0.0,2,0.008604599999671336,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,1.0,,0.001,0.9999569779254777,1.0,1024,0.005
86,2,0.0,4,0.014759000005142298,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,1.0,,0.001,0.9999262077227583,1.0,1024,0.005
87,4,0.0,8,0.0211946000054013,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",exponential,1.0,,0.001,0.999894032614913,1.0,1024,0.005
88,8,0.0,16,0.028823799999372568,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",exponential,1.0,,0.001,0.9998558913846474,1.0,1024,0.005
89,16,7.0,29,0.03544530000363011,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,1.0,,0.001,0.9998227892036703,1.0,1024,0.005
90,32,10.0,49,0.04314800000429386,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,1.0,,0.001,0.9997842832701789,1.0,1024,0.005
91,64,10.0,57,0.050735000004351605,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,1.0,,0.001,0.9997463571727605,1.0,1024,0.005
92,128,10.0,57,0.050735000004351605,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,1.0,,0.001,0.9997463571727605,1.0,1024,0.005
93,256,10.0,57,0.050735000004351605,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,1.0,,0.001,0.9997463571727605,1.0,1024,0.005
94,512,10.0,57,0.050735000004351605,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,1.0,,0.001,0.9997463571727605,1.0,1024,0.005
95,1024,10.0,57,0.050735000004351605,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,1.0,,0.001,0.9997463571727605,1.0,1024,0.005
96,0,2.0,0,0.00020930000027874485,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,2.0,0.99,0.001,1.999995792933831,2.0,1024,
97,1,0.0,2,0.007651100000657607,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,2.0,0.99,0.001,1.9998462136635518,2.0,1024,
98,2,0.0,4,0.017307300004176795,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",geometric,2.0,0.99,0.001,1.999652141899304,2.0,1024,
99,4,0.0,8,0.02442000000155531,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",geometric,2.0,0.99,0.001,1.9995092018274492,2.0,1024,
100,8,0.0,16,0.031212400004733354,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,2.0,0.99,0.001,1.9993727081886459,2.0,1024,
101,16,5.0,31,0.03772739999840269,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",geometric,2.0,0.99,0.001,1.9992417976722985,2.0,1024,
102,32,3.0,62,0.04429019999952288,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]",geometric,2.0,0.99,0.001,1.9991099353425255,2.0,1024,
103,64,3.0,117,0.05163439999887487,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",geometric,2.0,0.99,0.001,1.9989623831321577,2.0,1024,
104,128,17.0,195,0.05984300000272924,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,2.0,0.99,0.001,1.9987974771632517,2.0,1024,
105,256,17.0,195,0.05984300000272924,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,2.0,0.99,0.001,1.9987974771632517,2.0,1024,
106,512,17.0,195,0.05984300000272924,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,2.0,0.99,0.001,1.9987974771632517,2.0,1024,
107,1024,17.0,195,0.05984300000272924,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,2.0,0.99,0.001,1.9987974771632517,2.0,1024,
108,0,2.0,0,8.479999814881012e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,2.0,,0.001,1.9999991520001983,2.0,1024,0.005
109,1,0.0,2,0.007105799995770212,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,2.0,,0.001,1.9999289432623373,2.0,1024,0.005
110,2,0.0,4,0.01417080000101123,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,2.0,,0.001,1.9998582970201606,2.0,1024,0.005
111,4,0.0,8,0.021733299996412825,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",exponential,2.0,,0.001,1.9997826788080164,2.0,1024,0.005
112,8,0.0,16,0.028568699999595992,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",exponential,2.0,,0.001,1.999714333403298,2.0,1024,0.005
113,16,5.0,31,0.0361477999977069,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",exponential,2.0,,0.001,1.9996385546646411,2.0,1024,0.005
114,32,3.0,62,0.04468769999948563,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]",exponential,2.0,,0.001,1.9995531729210503,2.0,1024,0.005
115,64,13.0,120,0.05234829999972135,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 0]",exponential,2.0,,0.001,1.9994765855026388,2.0,1024,0.005
116,128,16.0,196,0.06229619999794522,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",exponential,2.0,,0.001,1.9993771350103613,2.0,1024,0.005
117,256,16.0,196,0.06229619999794522,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",exponential,2.0,,0.001,1.9993771350103613,2.0,1024,0.005
118,512,16.0,196,0.06229619999794522,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",exponential,2.0,,0.001,1.9993771350103613,2.0,1024,0.005
